KEY,SKEY,AAF1,CBAA_1
100001005,197100001510,2,3
100001006,197100002007,1,3
100001007,197100002073,1,2
100001008,197100001144,2,4
100001009,197100002046,2,3
100001010,197100000978,1,2
100001011,197100001583,2,4
100001012,197100002082,2,2
100001013,197100001347,1,1
100001014,197100002080,1,4
100001015,197100002092,2,2
100001016,197100002081,1,4
100001017,197100002101,1,4
100001018,197100001472,1,3
100001019,197100000952,1,3
100001020,197100000659,2,3
100001021,197100000317,1,4
100001022,197100001829,1,3
100001023,197100002051,1,2
100001024,197100002060,1,4
100001025,197100002087,1,4
100001026,197100000264,2,2
100001027,197100001029,1,4
100001028,197100002098,2,4
100001029,197100000665,1,3
100001030,197100001302,1,2
100001031,197100001939,2,3
100001032,197100002104,1,2
100001033,197100002115,1,3
100001034,197100001995,2,3
100001035,197100000618,1,4
100001036,197100000451,1,3
100001037,197100002100,2,3
100001038,197100002111,2,3
100001039,197100000882,1,2
100001040,197100001130,2,4
100001041,197100002121,1,4
100001042,197100002112,2,4
100001043,197100001017,1,4
100001044,197100000545,2,4
100001045,197100000698,2,4
100001046,197100000184,2,2
100001047,197100002158,2,2
100001048,197100002089,2,4
100001049,197100000885,1,4
100001050,197100000537,2,3
100001051,197100000936,1,4
100001052,197100002103,2,2
100001053,197100001987,2,2
100001054,197100002149,2,3
100001055,197100002139,1,2
100001056,197100002146,2,4
100001057,197100002090,1,3
100001058,197100002108,1,4
100001059,197100002145,2,3
100001060,197100000766,2,2
100001061,197100000725,2,2
100001062,197100000858,2,3
100001063,197100000137,2,4
100001064,197100001143,2,3
100001065,197100000206,2,4
100001066,197100001917,2,3
100001067,197100002179,2,3
100001068,197100002174,1,3
100001069,197100000408,1,3
100001070,197100001232,1,4
100001071,197100002097,2,3
100001072,197100002141,1,3
100001073,197100000440,2,4
100001074,197100000097,1,3
100001075,197100001765,1,2
100001076,197100001848,1,4
100001077,197100001263,1,3
100001078,197100002217,2,2
100001079,197100000429,2,3
